Run_ID,Method,Best_Guess,True_Min,Relative_Error,Kappa
1,aquisition,4.563902530060947,3.922966590913041,0.1633804225181365,4.0
1,aquisition,4.921196642818735,4.708980892877507,0.0450661735031058,4.0
1,aquisition,5.282789337265083,4.921812833458712,0.0733421842765811,4.0
1,aquisition,6.874326196224047,7.220838347245676,0.0479878006345071,4.0
1,aquisition,6.054751433751263,6.880072652386398,0.1199582127012666,4.0
1,aquisition,7.0275505705342365,6.590776686789952,0.0662704722828374,4.0
1,aquisition,8.061637362963037,6.420797117955556,0.2555508630570062,4.0
1,aquisition,8.400136653204347,8.433353630976132,0.0039387625878484,4.0
1,aquisition,9.707767676758792,8.060687858598342,0.2043348963579464,4.0
1,aquisition,7.117761603097091,5.470061897325305,0.3012214005434676,4.0
1,aquisition,4.106716076185021,4.557781659016286,0.0989660357992267,4.0
